billid,customerid,monthid,billedamount
1,1,20091,5060
2,614,20091,9638
3,615,20091,11573
4,616,20091,18697
5,617,20091,944
6,618,20091,3539
7,41,20091,6591
8,619,20091,16061
9,620,20091,1250
10,956,20091,15105
11,621,20091,6644
12,622,20091,2409
13,623,20091,5792
14,624,20091,11626
15,625,20091,11776
16,626,20091,14722
17,40,20091,14962
18,627,20091,6185
19,628,20091,13559
20,629,20091,14731
21,630,20091,701
22,631,20091,1943
23,632,20091,5974
24,633,20091,1777
25,634,20091,19186
26,39,20091,356
27,613,20091,11524
28,955,20091,5795
29,612,20091,19204
30,611,20091,14217
31,591,20091,8620
32,592,20091,2099
33,593,20091,9656
34,958,20091,7186
35,594,20091,2315
36,595,20091,12379
37,44,20091,8737
38,596,20091,10105
39,597,20091,10988
40,598,20091,7295
41,599,20091,12908
42,600,20091,18400
43,601,20091,17780
44,602,20091,1136
45,603,20091,4165
46,43,20091,8836
47,604,20091,17591
48,998,20091,995
49,605,20091,15889
50,606,20091,16430
51,607,20091,10013
52,957,20091,5429
53,608,20091,1013
54,609,20091,5182
55,610,20091,13358
56,42,20091,3549
57,590,20091,18815
58,635,20091,17819
59,637,20091,14225
60,953,20091,2200
61,663,20091,13888
62,664,20091,15375
63,665,20091,4461
64,35,20091,547
65,666,20091,6206
66,667,20091,17680
67,668,20091,11754
68,669,20091,18860
69,670,20091,5553
70,671,20091,5903
71,672,20091,14549
72,673,20091,1264
73,674,20091,3204
74,34,20091,6088
75,675,20091,4279
76,952,20091,10115
77,676,20091,10100
78,677,20091,3719
79,678,20091,18876
80,679,20091,14615
81,680,20091,14101
82,681,20091,674
83,33,20091,8353
84,682,20091,15232
85,662,20091,12735
86,636,20091,13692
87,661,20091,17974
88,659,20091,11121
89,638,20091,11595
90,639,20091,4604
91,640,20091,12903
92,641,20091,9467
93,642,20091,3495
94,38,20091,5824
95,643,20091,8222
96,644,20091,17749
97,645,20091,15425
98,646,20091,7978
99,647,20091,9761
100,648,20091,18037
101,954,20091,10284
102,649,20091,7972
103,37,20091,9107
104,650,20091,6720
105,651,20091,10273
106,652,20091,7450
107,653,20091,4776
108,654,20091,3232
109,655,20091,2703
110,656,20091,14770
111,657,20091,11229
112,658,20091,16805
113,36,20091,1567
114,660,20091,9567
115,589,20091,2009
116,588,20091,12319
117,45,20091,421
118,517,20091,11819
119,518,20091,19666
120,519,20091,4775
121,520,20091,12864
122,521,20091,18185
123,522,20091,19056
124,523,20091,16444
125,524,20091,6508
126,53,20091,15960
127,963,20091,188
128,525,20091,4571
129,526,20091,1718
130,527,20091,9582
131,528,20091,7099
132,529,20091,13178
133,530,20091,13458
134,531,20091,18686
135,532,20091,2047
136,52,20091,4866
137,533,20091,14232
138,534,20091,4385
139,535,20091,18175
140,536,20091,3855
141,537,20091,7184
142,538,20091,14188
143,54,20091,19105
144,962,20091,4692
145,516,20091,19930
146,514,20091,9965
147,494,20091,14965
148,495,20091,10646
149,496,20091,8297
150,965,20091,3424
151,497,20091,11755
152,498,20091,4970
153,499,20091,6711
154,500,20091,13565
155,501,20091,18194
156,56,20091,8981
157,997,20091,13103
158,502,20091,18078
159,503,20091,19257
160,504,20091,972
161,505,20091,1748
162,506,20091,2144
163,507,20091,3767
164,508,20091,14204
165,509,20091,8986
166,55,20091,5371
167,510,20091,10524
168,964,20091,4477
169,511,20091,17043
170,512,20091,589
171,513,20091,14723
172,515,20091,677
173,539,20091,2148
174,51,20091,4269
175,540,20091,2727
176,566,20091,15424
177,567,20091,1364
178,568,20091,1766
179,569,20091,17285
180,570,20091,14106
181,571,20091,8378
182,47,20091,6858
183,572,20091,12052
184,573,20091,19804
185,574,20091,18111
186,575,20091,10838
187,576,20091,18568
188,577,20091,17610
189,578,20091,6985
190,579,20091,3698
191,46,20091,1235
192,959,20091,2092
193,580,20091,15086
194,581,20091,12537
195,582,20091,7298
196,583,20091,2640
197,584,20091,18068
198,585,20091,11330
199,586,20091,12394
200,587,20091,8380
201,960,20091,7435
202,565,20091,18105
203,48,20091,18642
204,564,20091,19129
205,541,20091,4437
206,542,20091,14444
207,543,20091,7908
208,544,20091,1350
209,545,20091,7050
210,546,20091,6783
211,547,20091,19351
212,548,20091,7812
213,50,20091,12786
214,549,20091,12188
215,550,20091,3582
216,551,20091,14138
217,683,20091,8013
218,961,20091,12389
219,553,20091,12151
220,554,20091,12878
221,555,20091,15569
222,49,20091,2602
223,556,20091,13521
224,557,20091,6358
225,558,20091,3001
226,559,20091,16154
227,560,20091,9856
228,561,20091,18162
229,562,20091,3069
230,563,20091,5827
231,552,20091,14456
232,684,20091,4349
233,685,20091,4740
234,686,20091,7828
235,17,20091,12785
236,808,20091,4762
237,809,20091,4404
238,810,20091,14064
239,811,20091,18239
240,812,20091,2195
241,813,20091,18991
242,942,20091,18838
243,814,20091,4975
244,815,20091,18970
245,16,20091,5094
246,816,20091,12422
247,817,20091,19736
248,818,20091,18583
249,819,20091,6408
250,820,20091,13187
251,821,20091,12517
252,822,20091,7686
253,823,20091,5170
254,15,20091,6487
255,824,20091,2062
256,1000,20091,19474
257,825,20091,9390
258,826,20091,10582
259,827,20091,16005
260,807,20091,16737
261,941,20091,5831
262,806,20091,10948
263,804,20091,15580
264,784,20091,5011
265,20,20091,3591
266,785,20091,16923
267,786,20091,4721
268,944,20091,505
269,787,20091,11599
270,788,20091,7167
271,789,20091,5067
272,790,20091,7186
273,791,20091,13593
274,19,20091,14022
275,792,20091,10193
276,793,20091,14620
277,794,20091,607
278,795,20091,9648
279,796,20091,7201
280,797,20091,14796
281,798,20091,484
282,799,20091,17582
283,18,20091,13640
284,943,20091,1000
285,800,20091,11304
286,801,20091,17247
287,802,20091,16300
288,803,20091,2543
289,805,20091,11548
290,828,20091,3592
291,829,20091,710
292,830,20091,11896
293,939,20091,14366
294,856,20091,12813
295,857,20091,12029
296,858,20091,12976
297,859,20091,12506
298,860,20091,4201
299,861,20091,15996
300,862,20091,13634
301,10,20091,1663
302,863,20091,6893
303,864,20091,10833
304,865,20091,713
305,866,20091,432
306,867,20091,2891
307,868,20091,15321
308,938,20091,12056
309,869,20091,19745
310,9,20091,15756
311,870,20091,15932
312,871,20091,1887
313,872,20091,3687
314,873,20091,16647
315,874,20091,17769
316,875,20091,12812
317,876,20091,2115
318,855,20091,15088
319,11,20091,1916
320,854,20091,12925
321,853,20091,16915
322,831,20091,6091
323,14,20091,15655
324,832,20091,13185
325,833,20091,9156
326,834,20091,6996
327,835,20091,5686
328,836,20091,4220
329,837,20091,12367
330,838,20091,579
331,13,20091,5749
332,839,20091,9221
333,840,20091,13576
334,783,20091,6299
335,841,20091,17389
336,842,20091,1238
337,843,20091,904
338,844,20091,7285
339,845,20091,6885
340,846,20091,11419
341,12,20091,17784
342,847,20091,3939
343,848,20091,9113
344,849,20091,60
345,850,20091,6910
346,851,20091,8162
347,852,20091,14992
348,940,20091,373
349,57,20091,16535
350,782,20091,16789
351,780,20091,19263
352,711,20091,13202
353,712,20091,13624
354,713,20091,10196
355,29,20091,3267
356,714,20091,17587
357,999,20091,11886
358,715,20091,1352
359,716,20091,3588
360,717,20091,14918
361,949,20091,10913
362,718,20091,935
363,719,20091,6502
364,720,20091,10511
365,721,20091,11393
366,28,20091,6452
367,722,20091,406
368,723,20091,1824
369,724,20091,13204
370,725,20091,15687
371,726,20091,17088
372,727,20091,9772
373,728,20091,17120
374,27,20091,5930
375,729,20091,15083
376,730,20091,1337
377,710,20091,9547
378,731,20091,3791
379,709,20091,6773
380,707,20091,11669
381,687,20091,961
382,688,20091,7315
383,689,20091,11422
384,32,20091,14175
385,951,20091,1370
386,690,20091,2600
387,691,20091,13317
388,692,20091,3976
389,693,20091,17205
390,694,20091,16669
391,695,20091,8925
392,696,20091,11586
393,697,20091,11980
394,31,20091,4383
395,698,20091,5977
396,699,20091,12898
397,700,20091,2875
398,701,20091,522
399,702,20091,750
400,703,20091,9696
401,950,20091,9399
402,704,20091,15736
403,705,20091,11371
404,30,20091,89
405,706,20091,13489
406,708,20091,15511
407,948,20091,11808
408,732,20091,902
409,733,20091,2955
410,759,20091,6258
411,23,20091,10215
412,760,20091,5139
413,761,20091,3887
414,762,20091,17481
415,763,20091,8315
416,764,20091,19721
417,765,20091,3245
418,766,20091,6845
419,767,20091,14743
420,768,20091,9815
421,22,20091,15868
422,769,20091,17710
423,770,20091,18111
424,771,20091,1773
425,772,20091,14256
426,945,20091,15534
427,773,20091,6285
428,774,20091,11359
429,775,20091,725
430,21,20091,12485
431,776,20091,357
432,777,20091,1096
433,778,20091,3760
434,779,20091,12002
435,946,20091,12359
436,758,20091,3076
437,757,20091,13767
438,756,20091,12478
439,734,20091,14479
440,735,20091,7752
441,736,20091,11801
442,26,20091,5209
443,737,20091,1610
444,738,20091,14918
445,739,20091,19095
446,740,20091,12981
447,741,20091,11118
448,742,20091,6516
449,743,20091,14483
450,744,20091,18337
451,781,20091,1353
452,25,20091,8673
453,745,20091,685
454,746,20091,4449
455,747,20091,13692
456,748,20091,16573
457,749,20091,19945
458,750,20091,13532
459,751,20091,12344
460,752,20091,15902
461,24,20091,13399
462,753,20091,6041
463,754,20091,3325
464,755,20091,12848
465,947,20091,9471
466,877,20091,16487
467,493,20091,18741
468,491,20091,16591
469,228,20091,6334
470,229,20091,3763
471,230,20091,17346
472,231,20091,6925
473,232,20091,17040
474,233,20091,14913
475,90,20091,18997
476,234,20091,2964
477,984,20091,11913
478,235,20091,10438
